fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max,best_mse_chance_mean,best_mse_chance_std,best_mse_chance_min,best_mse_chance_max,mean_mse_chance_mean,mean_mse_chance_std,mean_mse_chance_min,mean_mse_chance_max,best_mse_utility_mean,best_mse_utility_std,best_mse_utility_min,best_mse_utility_max,mean_mse_utility_mean,mean_mse_utility_std,mean_mse_utility_min,mean_mse_utility_max
binary,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,2,10,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top10,4,20,20,1.60,0.49,1,2,0.000000,0.000000,51.01,2.66,85.00,3.16,80.00,90.00,0.542966,0.073821,0.483804,0.680004,1.392694,0.108123,1.220838,1.539729,4.787510,2.168033,2.487852,8.050272,16.262698,1.999461,13.513607,18.624416
binary,top10,8,40,20,6.00,0.63,5,7,0.000000,0.000000,64.36,2.86,92.00,4.00,85.00,95.00,0.504115,0.044909,0.433691,0.568620,1.234340,0.188512,1.028831,1.539798,3.462066,1.202966,2.237582,5.226021,14.327461,2.392432,11.141190,18.489207
binary,top10,12,60,20,12.40,7.17,6,26,0.000000,0.000000,72.04,2.91,96.00,2.00,95.00,100.00,0.621848,0.177713,0.454400,0.965251,1.321882,0.229448,0.999700,1.671638,3.788420,1.622649,2.239693,6.768769,14.357976,3.125332,11.822836,20.492502
binary,top30,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
binary,top30,2,10,20,1.80,0.75,1,3,0.000000,0.000000,52.02,2.21,83.00,6.78,75.00,95.00,0.502109,0.112728,0.356694,0.696016,1.415843,0.093317,1.269468,1.544349,4.103970,2.174496,1.622321,8.050272,16.357217,1.975021,14.562052,18.898563
binary,top30,4,20,20,5.00,1.10,4,7,0.000000,0.000000,56.21,2.93,89.00,3.74,85.00,95.00,0.527636,0.066176,0.443953,0.629355,1.285651,0.123280,1.085631,1.425396,2.148905,0.610207,1.691002,3.338808,12.273928,2.573993,7.475842,14.555253
binary,top30,8,40,20,9.40,1.02,8,11,0.000000,0.000000,71.02,2.75,96.00,2.00,95.00,100.00,0.488277,0.102431,0.337550,0.652230,1.180803,0.166010,0.992953,1.485323,3.642773,2.119972,0.863669,7.132288,14.383148,3.082071,11.311844,19.441340
binary,top30,12,60,20,17.40,5.68,11,26,0.000000,0.000000,79.93,3.45,95.00,0.00,95.00,95.00,0.760785,0.245260,0.454400,1.159940,1.347043,0.250252,0.999700,1.771322,4.548939,3.348149,0.509276,9.936004,13.697409,4.035374,10.572944,21.580136
binary,top70,1,5,20,4.00,0.63,3,5,0.000000,0.000000,54.57,1.61,91.00,4.90,85.00,95.00,0.534032,0.098504,0.410866,0.678183,1.291612,0.110458,1.104793,1.420536,3.204399,0.885456,1.653330,4.307229,13.881132,1.831448,11.229153,16.943555
binary,top70,2,10,20,5.60,1.20,4,7,0.000000,0.000000,56.69,5.37,86.00,8.00,75.00,95.00,0.556963,0.112989,0.400912,0.653927,1.212659,0.124361,1.052957,1.366738,3.456269,0.716632,2.714829,4.814119,13.908045,2.002159,12.246558,17.815972
binary,top70,4,20,20,8.00,1.79,6,11,0.000000,0.000000,59.63,4.44,88.00,4.00,85.00,95.00,0.555461,0.155572,0.422809,0.747814,1.273621,0.155302,1.028907,1.466572,3.084725,0.314519,2.725773,3.661619,12.583396,2.983937,7.955124,16.241339
binary,top70,8,40,20,14.60,1.36,13,16,0.000000,0.000000,78.42,4.20,95.00,0.00,95.00,95.00,0.548407,0.093914,0.440125,0.693948,1.251986,0.191281,1.068450,1.549733,6.289914,4.862102,1.953251,15.133452,16.859827,5.099386,11.489446,24.496990
binary,top70,12,60,20,20.60,4.13,16,26,0.000000,0.000000,83.32,5.09,95.00,3.16,90.00,100.00,0.751780,0.259813,0.454400,1.122132,1.401045,0.313854,0.999700,1.860874,6.629787,5.259395,2.239693,16.543599,14.563123,4.497602,9.772947,22.737610
binary,top90,1,5,20,7.40,1.20,5,8,0.000000,0.000000,58.57,3.95,93.00,4.00,85.00,95.00,0.574535,0.128242,0.437345,0.816701,1.314565,0.161637,1.138859,1.614540,3.232703,1.603275,1.431087,5.623019,13.285162,3.073059,10.062309,18.514735
binary,top90,2,10,20,12.40,5.28,6,22,0.000000,0.000000,59.64,5.27,89.00,8.00,75.00,95.00,0.592524,0.147513,0.425565,0.841311,1.207445,0.261400,0.859042,1.616857,4.148931,1.159943,2.515964,6.104540,15.484194,1.931096,12.645265,18.400121
binary,top90,4,20,20,15.80,5.08,11,22,0.000000,0.000000,60.76,4.63,84.00,8.00,75.00,95.00,0.581962,0.103750,0.448110,0.724126,1.254596,0.170048,0.937833,1.405980,4.817899,3.342547,2.249691,11.290751,13.042497,4.766778,8.689091,20.980253
binary,top90,8,40,20,21.00,1.79,18,23,0.000000,0.000000,77.61,3.12,95.00,0.00,95.00,95.00,0.570753,0.177031,0.368350,0.838913,1.339903,0.230592,1.017977,1.657321,8.639285,6.412287,3.895067,20.850696,16.967925,4.991166,11.973787,25.194390
binary,top90,12,60,20,22.20,3.19,17,26,0.000000,0.000000,84.13,6.23,95.00,3.16,90.00,100.00,0.761141,0.237043,0.454400,1.122132,1.389258,0.300786,0.999700,1.860874,6.705711,5.152226,2.239693,16.543599,14.801806,4.500605,10.120411,22.737610
margin,top10,1,5,20,1.00,0.00,1,1,0.000000,0.000000,51.45,2.08,83.00,2.45,80.00,85.00,0.496711,0.064276,0.416465,0.580448,1.508490,0.029525,1.467805,1.544349,6.171206,1.169171,4.490148,8.050272,18.626932,0.569366,17.760733,19.481594
margin,top10,2,10,20,1.60,0.49,1,2,0.000000,0.000000,51.68,1.86,85.00,5.48,80.00,95.00,0.561655,0.132280,0.442281,0.816608,1.449971,0.066489,1.358442,1.544349,4.954898,1.644541,3.426174,8.050272,16.611386,2.145014,13.250915,18.898563
margin,top10,4,20,20,6.80,1.94,5,10,0.000000,0.000000,59.22,2.85,88.00,4.00,85.00,95.00,0.466399,0.103351,0.313250,0.616276,1.284956,0.142434,1.054795,1.503628,3.249038,0.821550,2.160717,4.634183,13.008163,3.361610,9.637151,18.910334
margin,top10,8,40,20,11.00,2.61,8,15,0.000000,0.000000,70.38,2.44,96.00,2.00,95.00,100.00,0.581045,0.087106,0.458387,0.683706,1.270256,0.167388,1.113117,1.533915,3.308531,0.759594,2.084860,4.373808,12.708638,1.477914,10.126474,14.659276
margin,top10,12,60,20,17.20,2.79,14,21,0.000000,0.000000,84.04,3.19,97.00,2.45,95.00,100.00,0.587432,0.131376,0.389178,0.724174,1.046884,0.251247,0.605714,1.346690,5.700515,2.468015,1.571285,8.496936,15.131219,3.497566,9.147714,18.832406
margin,top30,1,5,20,1.80,0.40,1,2,0.000000,0.000000,51.81,1.98,83.00,7.48,75.00,95.00,0.564162,0.071711,0.469202,0.688819,1.342082,0.104925,1.234467,1.539729,4.303170,1.218195,2.941987,6.345298,16.056342,1.519317,13.952613,18.369352
margin,top30,2,10,20,4.40,1.20,2,5,0.000000,0.000000,52.70,2.64,81.00,4.90,75.00,85.00,0.545562,0.082154,0.430087,0.624455,1.271752,0.183994,1.000515,1.546010,3.223652,1.065532,1.771191,4.880246,13.370858,1.585206,12.122822,16.470583
margin,top30,4,20,20,9.80,3.92,7,17,0.000000,0.000000,63.36,2.75,89.00,3.74,85.00,95.00,0.610433,0.177911,0.423148,0.928446,1.326116,0.225947,1.062561,1.725125,3.444957,1.218261,1.700816,5.406824,11.858805,5.554507,6.468131,22.250347
margin,top30,8,40,20,13.80,2.71,11,18,0.000000,0.000000,75.41,4.79,94.00,2.00,90.00,95.00,0.604617,0.205330,0.366293,0.915154,1.224147,0.303866,0.920190,1.717033,3.548330,0.790131,2.546029,4.792325,12.059269,1.752221,9.405770,14.326252
margin,top30,12,60,20,20.00,3.90,15,25,0.000000,0.000000,84.97,3.25,97.00,2.45,95.00,100.00,0.571371,0.126057,0.362302,0.682214,1.051692,0.286219,0.532837,1.374076,5.175317,2.265577,1.874969,8.662259,13.587242,3.734421,6.542796,17.050662
